id,odasalon,brut,net,kati,yasi,isinma,esyali,kredi,tapu,banyo,fiyat,ilce
1164,3 + 1,165.0,145 ,3. Kat,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,450.000 TL,Beylikdüzü
1165,3 + 1,140.0,120 ,8. Kat,19 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,375.000 TL,Beylikdüzü
1166,4 + 2,350.0,320 ,7. Kat,7 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,2.540.000 TL,Beylikdüzü
1181,3 + 1,125.0,120 ,1. Kat,36 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.100.000 TL,Beyoğlu
1182,2 + 1,90.0,90 ,1. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,340.000 TL,Beyoğlu
1183,2 + 1,80.0,80 ,Kot 1,18 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Arsa,1,165.000 TL,Beyoğlu
1184,3 + 1,165.0,160 ,6. Kat,31 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,6.000.000 TL,Beyoğlu
1185,2 + 1,85.0,75 ,2. Kat,25 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,1.950.000 TL,Beyoğlu
1186,2 + 1,95.0,90 ,2. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Beyoğlu
1187,4 + 1,300.0,280 ,3. Kat,100 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,18.500.000 TL,Beyoğlu
1188,2 + 1,120.0,100 ,Yüksek Giriş,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.350.000 TL,Beyoğlu
1189,3 + 1,121.0,120 ,4. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,885.000 TL,Beyoğlu
1190,3 + 1,125.0,115 ,Yüksek Giriş,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,890.000 TL,Beyoğlu
1191,3 + 1,135.0,125 ,2. Kat,28 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,550.000 TL,Beyoğlu
1192,4 + 2,250.0,240 ,3. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,3.000.000 TL,Beyoğlu
1193,1 + 1,55.0,45 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,700.000 TL,Beyoğlu
1194,2 + 1,90.0,80 ,3. Kat,17 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.000.000 TL,Beyoğlu
1195,3 + 1,180.0,160 ,3. Kat,90 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Kat Mülkiyeti,2,1.600.000 TL,Beyoğlu
1196,1 + 1,65.0,55 ,Yüksek Giriş,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,550.000 TL,Beyoğlu
1197,3 + 1,130.0,120 ,2. Kat,35 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.000.000 TL,Beyoğlu
1198,3 + 2,150.0,140 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.200.000 TL,Beyoğlu
1199,2 + 1,85.0,80 ,5. Kat,38 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.300.000 TL,Beyoğlu
1200,1 + 1,70.0,65 ,4. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,575.000 TL,Beyoğlu
1201,3 + 1,150.0,130 ,3. Kat,50 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,2.300.000 TL,Beyoğlu
1202,4 + 1,200.0,180 ,Bahçe Katı,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,2.200.000 TL,Beyoğlu
1203,4 + 1,263.0,250 ,5. Kat,95 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,14.000.000 TL,Beyoğlu
1204,3 + 1,165.0,157 ,4. Kat,60 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,2.250.000 TL,Beyoğlu
1205,4 + 1,220.0,200 ,2. Kat,50 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.500.000 TL,Beyoğlu
1206,1 + 1,70.0,60 ,2. Kat,9 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,750.000 TL,Beyoğlu
1207,1 + 1,90.0,77 ,Yüksek Giriş,65 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.290.000 TL,Beyoğlu
1208,3 + 1,142.0,135 ,2. Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.250.000 TL,Beyoğlu
1209,4 + 2,170.0,160 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.600.000 TL,Beyoğlu
1210,11 + 11,400.0,380 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,11,5.500.000 TL,Beyoğlu
1211,3 + 1,160.0,150 ,4. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,520.000 TL,
1212,4 + 1,210.0,200 ,5. Kat,31 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,5.500.000 TL,Beyoğlu
1213,1 + 1,80.0,70 ,5. Kat,80 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,1.650.000 TL,Beyoğlu
1214,2 + 1,85.0,80 ,1. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,370.000 TL,Beyoğlu
1215,2 + 1,130.0,115 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,720.000 TL,Beyoğlu
1216,3 + 1,200.0,180 ,4. Kat,75 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.500.000 TL,Beyoğlu
1217,3 + 1,175.0,175 ,5. Kat,70 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.750.000 TL,Beyoğlu
1218,2 + 1,160.0,140 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.500.000 TL,Beyoğlu
1219,2 + 1,80.0,75 ,4. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,520.000 TL,Beyoğlu
1220,2 + 1,80.0,75 ,5. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,600.000 TL,
1221,1 + 1,55.0,55 ,Yarı Bodrum,31 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,350.000 TL,Beyoğlu
1222,3 + 1,100.0,80 ,3. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,900.000 TL,Beyoğlu
1223,4 + 2,250.0,240 ,Teras Katı,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.000.000 TL,Beyoğlu
1224,3 + 1,182.0,125 ,4. Kat,1 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun değil,Kat Mülkiyeti,2,3.300.000 TL,Beyoğlu
1225,4 + 1,215.0,Belirtilmemiş,4. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Arsa,1,1.100.000 TL,Beyoğlu
1226,3 + 1,145.0,130 ,3. Kat,100 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.350.000 TL,Beyoğlu
1227,2 + 1,95.0,90 ,Giriş Katı,30 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,630.000 TL,Beyoğlu
1228,2 + 1,95.0,90 ,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,560.000 TL,Beyoğlu
1229,1 + 1,92.0,80 ,1. Kat,18 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.000.000 TL,Beyoğlu
1230,2 + 1,90.0,73 ,Yüksek Giriş,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,465.000 TL,Beyoğlu
1231,3 + 1,160.0,140 ,2. Kat,35 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.800.000 TL,Beyoğlu
1232,5 + 1,200.0,180 ,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,900.000 TL,Beyoğlu
1233,3 + 2,240.0,220 ,4. Kat,60 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.750.000 TL,Beyoğlu
1234,2 + 1,85.0,80 ,Kot 1,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Beyoğlu
1235,2 + 1,90.0,90 ,Giriş Katı,31 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.000.000 TL,Beyoğlu
1236,2 + 1,110.0,95 ,3. Kat,90 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,4.000.000 TL,Beyoğlu
1237,4 + 2,280.0,250 ,4. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,4.250.000 TL,Beyoğlu
1238,1 + 1,75.0,60 ,4. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,435.000 TL,Beyoğlu
1239,2 + 1,90.0,80 ,Kot 1,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,650.000 TL,Beyoğlu
1240,1 + 0,40.0,30 ,Kot 1,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,230.000 TL,Beyoğlu
1241,3 + 1,218.0,Belirtilmemiş,Kot 1,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,6.664.000 TL,Beyoğlu
1242,2 + 1,80.0,70 ,Kot 1,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Beyoğlu
1243,2 + 1,85.0,75 ,5. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,850.000 TL,Beyoğlu
1244,4 + 1,250.0,220 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,6.000.000 TL,Beyoğlu
1245,3 + 1,200.0,180 ,5. Kat,90 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,7.999.000 TL,Beyoğlu
1246,4 + 2,250.0,220 ,4. Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,4.000.000 TL,Beyoğlu
1247,1 + 1,55.0,50 ,5. Kat,40 Yaşında,Kombi,Eşyalı,Uygun değil,Kat İrtifakı,1,620.000 TL,Beyoğlu
1248,2 + 1,170.0,170 ,3. Kat,60 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.330.000 TL,Beyoğlu
1249,2 + 1,75.0,65 ,2. Kat,26 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,350.000 TL,Beyoğlu
1250,1 + 1,60.0,42 ,5. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,945.000 TL,Beyoğlu
1251,2 + 1,105.0,90 ,4. Kat,54 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,900.000 TL,Beyoğlu
1252,2 + 1,88.0,80 ,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,950.000 TL,Beyoğlu
1253,4 + 1,150.0,140 ,5. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Beyoğlu
1254,2 + 1,130.0,120 ,2. Kat,31 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,3.150.000 TL,Beyoğlu
1255,4 + 1,145.0,130 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,400.000 TL,Beyoğlu
1256,2 + 1,95.0,90 ,3. Kat,31 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,900.000 TL,Beyoğlu
1257,2 + 1,80.0,78 ,2. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,725.000 TL,Beyoğlu
1258,3 + 1,160.0,140 ,4. Kat,50 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.300.000 TL,Beyoğlu
1259,2 + 1,89.0,56 ,2. Kat,1 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat İrtifakı,2,1.190.000 TL,Beyoğlu
1260,2 + 1,70.0,70 ,3. Kat,80 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,800.000 TL,Beyoğlu
1261,1 + 1,65.0,55 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,950.000 TL,Beyoğlu
1262,3 + 1,150.0,135 ,Yüksek Giriş,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.400.000 TL,Beyoğlu
1263,1 + 1,80.0,75 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,600.000 TL,Beyoğlu
1264,2 + 1,90.0,85 ,Kot 1,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,650.000 TL,Beyoğlu
1265,3 + 1,218.0,Belirtilmemiş,Kot 1,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,6.664.000 TL,Beyoğlu
1266,2 + 1,80.0,70 ,Kot 1,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Beyoğlu
1267,2 + 1,85.0,75 ,5. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,850.000 TL,Beyoğlu
1268,4 + 1,250.0,220 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,6.000.000 TL,Beyoğlu
1269,3 + 1,200.0,180 ,5. Kat,90 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,7.999.000 TL,Beyoğlu
1270,4 + 2,250.0,220 ,4. Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,4.000.000 TL,Beyoğlu
1271,1 + 1,55.0,50 ,5. Kat,40 Yaşında,Kombi,Eşyalı,Uygun değil,Kat İrtifakı,1,620.000 TL,Beyoğlu
1272,2 + 1,170.0,170 ,3. Kat,60 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.330.000 TL,Beyoğlu
1273,2 + 1,75.0,65 ,2. Kat,26 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,350.000 TL,Beyoğlu
1274,1 + 1,60.0,42 ,5. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,945.000 TL,Beyoğlu
1275,2 + 1,105.0,90 ,4. Kat,54 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,900.000 TL,Beyoğlu
1276,2 + 1,88.0,80 ,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,950.000 TL,Beyoğlu
1277,4 + 1,150.0,140 ,5. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Beyoğlu
1278,2 + 1,130.0,120 ,2. Kat,31 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,3.150.000 TL,Beyoğlu
1279,4 + 1,145.0,130 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,400.000 TL,Beyoğlu
1280,2 + 1,95.0,90 ,3. Kat,31 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,900.000 TL,Beyoğlu
1281,2 + 1,80.0,78 ,2. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,725.000 TL,Beyoğlu
1282,3 + 1,160.0,140 ,4. Kat,50 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.300.000 TL,Beyoğlu
1289,2 + 1,80.0,70 ,4. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,275.000 TL,Büyükçekmece
1290,4 + 1,235.0,195 ,3. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.680.000 TL,Büyükçekmece
1291,2 + 1,118.0,95 ,3. Kat,10 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,405.000 TL,Büyükçekmece
1292,2 + 1,97.0,75 ,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,530.000 TL,Büyükçekmece
1293,2 + 1,110.0,100 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,550.000 TL,Büyükçekmece
1294,3 + 1,160.0,140 ,1. Kat,21 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,580.000 TL,Büyükçekmece
1295,4 + 2,190.0,180 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,850.000 TL,Büyükçekmece
1296,2 + 1,118.0,110 ,1. Kat,4 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,420.000 TL,Büyükçekmece
1297,3 + 1,135.0,120 ,1. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,300.000 TL,Büyükçekmece
1298,4 + 1,220.0,190 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,950.000 TL,Büyükçekmece
1299,5 + 2,330.0,300 ,3. Kat,14 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,3,850.000 TL,Büyükçekmece
1300,2 + 1,95.0,90 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,365.000 TL,Büyükçekmece
1301,2 + 1,110.0,85 ,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,270.000 TL,Büyükçekmece
1302,3 + 2,200.0,180 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,985.000 TL,Büyükçekmece
1303,2 + 1,120.0,112 ,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,410.000 TL,Büyükçekmece
1304,3 + 1,145.0,125 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,850.000 TL,Büyükçekmece
1305,3 + 1,140.0,112 ,3. Kat,24 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,380.000 TL,Büyükçekmece
1306,5 + 1,250.0,Belirtilmemiş,3. Kat,31 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Büyükçekmece
1307,4 + 1,235.0,230 ,Yüksek Giriş,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.300.000 TL,Büyükçekmece
1308,2 + 1,80.0,70 ,4. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,275.000 TL,Büyükçekmece
1309,4 + 1,235.0,195 ,3. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.680.000 TL,Büyükçekmece
1310,2 + 1,118.0,95 ,3. Kat,10 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,405.000 TL,Büyükçekmece
1311,2 + 1,97.0,75 ,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,530.000 TL,Büyükçekmece
1312,2 + 1,110.0,100 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,550.000 TL,Büyükçekmece
1313,3 + 1,160.0,140 ,1. Kat,21 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,580.000 TL,Büyükçekmece
1314,4 + 2,190.0,180 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,850.000 TL,Büyükçekmece
1315,2 + 1,118.0,110 ,1. Kat,4 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,420.000 TL,Büyükçekmece
1316,3 + 1,135.0,120 ,1. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,300.000 TL,Büyükçekmece
1317,4 + 1,220.0,190 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,950.000 TL,Büyükçekmece
1318,5 + 2,330.0,300 ,3. Kat,14 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,3,850.000 TL,Büyükçekmece
1319,2 + 1,95.0,90 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,365.000 TL,Büyükçekmece
1320,2 + 1,110.0,85 ,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,270.000 TL,Büyükçekmece
1321,3 + 2,200.0,180 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,985.000 TL,Büyükçekmece
1322,2 + 1,120.0,112 ,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,410.000 TL,Büyükçekmece
1323,3 + 1,145.0,125 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,850.000 TL,Büyükçekmece
1324,3 + 1,140.0,112 ,3. Kat,24 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,380.000 TL,Büyükçekmece
1325,5 + 1,250.0,Belirtilmemiş,3. Kat,31 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Büyükçekmece
1326,4 + 1,235.0,230 ,Yüksek Giriş,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.300.000 TL,Büyükçekmece
1327,3 + 1,147.0,135 ,3. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,575.000 TL,Büyükçekmece
1328,3 + 1,115.0,95 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,500.000 TL,Büyükçekmece
1329,3 + 1,147.0,125 ,6. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,680.000 TL,Büyükçekmece
1330,4 + 2,250.0,210 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Büyükçekmece
1331,5 + 2,290.0,265 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.190.000 TL,Büyükçekmece
1332,3 + 1,120.0,105 ,3. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,455.000 TL,Büyükçekmece
1333,2 + 1,160.0,140 ,3. Kat,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,420.000 TL,Büyükçekmece
1334,2 + 1,90.0,85 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,400.000 TL,Büyükçekmece
1335,2 + 1,75.0,70 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,400.000 TL,Büyükçekmece
1336,3 + 1,145.0,140 ,2. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,538.000 TL,Büyükçekmece
1337,3 + 1,150.0,135 ,2. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,530.000 TL,Büyükçekmece
1338,3 + 1,145.0,140 ,3. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Büyükçekmece
1339,4 + 1,170.0,160 ,4. Kat,19 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,550.000 TL,Büyükçekmece
1340,3 + 1,160.0,150 ,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,620.000 TL,Büyükçekmece
1341,3 + 1,210.0,185 ,4. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.450.000 TL,Büyükçekmece
1342,2 + 2,200.0,175 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,610.000 TL,Büyükçekmece
1343,4 + 1,170.0,150 ,1. Kat,18 Yaşında,Merkezi,Eşyalı,Uygun,Kat Mülkiyeti,2,650.000 TL,Büyükçekmece
1344,2 + 1,100.0,90 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,650.000 TL,Büyükçekmece
1345,3 + 2,200.0,170 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,660.000 TL,Büyükçekmece
1346,3 + 1,147.0,135 ,3. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,575.000 TL,Büyükçekmece
1347,3 + 1,115.0,95 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,500.000 TL,Büyükçekmece
1348,3 + 1,147.0,125 ,6. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,680.000 TL,Büyükçekmece
1349,4 + 2,250.0,210 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Büyükçekmece
1350,5 + 2,290.0,265 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.190.000 TL,Büyükçekmece
1351,3 + 1,120.0,105 ,3. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,455.000 TL,Büyükçekmece
1352,2 + 1,160.0,140 ,3. Kat,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,420.000 TL,Büyükçekmece
